Customer_Name,Age,Gender,City,Account_Type,Transaction_ID,Transaction_Date,Transaction_Type,Amount,Balance_After,Channel,Fraud_Flag,Bank_Fee
Elizabeth Moore,,Female,Abuja,Current,TXN1000,2/16/2024,Transfer,385.12,2627.84,Web,No,2.44
James Robert,37,Female,Abuja,Savings,TXN1001,3/18/2024,Transfer,48.84,2062.98,Web,No,1.11
Michael Davis,49,Male,Ibadan,Credit,TXN1002,4/25/2024,Deposit,248.91,790.74,ATM,No,11.21
Linda Miller,,Male,Ibadan,Savings,TXN1003,3/25/2024,Payment,140.46,-112.10,ATM,No,12.69
Elizabeth Moore,29,Female,Lagos,Savings,TXN1004,4/27/2024,Withdrawal,1960.51,115.47,POS,No,12.22
Patricia Brown,53,Female,Port Harcourt,Current,TXN1005,1/27/2024,Payment,115.41,4156.20,POS,No,10.22
William Wilson,63,Female,Abuja,Current,TXN1006,4/18/2024,Deposit,729.88,1815.99,POS,No,12.38
James Robert,65,Female,Ibadan,Credit,TXN1007,1/26/2024,Withdrawal,1215.62,80.22,ATM,No,6.61
Elizabeth Moore,,Female,Port Harcourt,Savings,TXN1008,3/13/2024,Withdrawal,861.36,4954.27,Mobile App,No,4.41
William Wilson,34,Female,Abuja,Credit,TXN1009,4/15/2024,Transfer,1857.23,3236.16,Web,No,18.86
Patricia Brown,21,Male,Abuja,Savings,TXN1010,1/5/2024,Payment,1839.80,483.90,ATM,No,0.09
Michael Davis,,Female,Abuja,Credit,TXN1011,3/26/2024,Transfer,261.99,3838.75,ATM,No,6.45
Mary Johnson,61,Male,Abuja,Savings,TXN1012,1/19/2024,Withdrawal,1096.89,-330.84,Web,No,8.47
Elizabeth Moore,,Female,Abuja,Current,TXN1013,3/20/2024,Transfer,1946.41,4548.37,Web,No,18.55
William Wilson,50,Female,Port Harcourt,Current,TXN1014,3/7/2024,Deposit,573.32,3604.20,ATM,No,9.57
David Taylor,,Female,Port Harcourt,Credit,TXN1015,2/14/2024,Payment,10.64,1046.99,ATM,No,7.31
David Taylor,44,Female,Ibadan,Current,TXN1016,11/2/2024,Transfer,1821.88,3769.44,POS,No,8.94
Patricia Brown,19,Female,Lagos,Savings,TXN1017,4/6/2024,Deposit,978.27,-381.87,ATM,No,1.56
Linda Miller,,Female,Abuja,Credit,TXN1018,4/4/2024,Payment,746.05,1422.71,Mobile App,No,6.39
Mary Johnson,,Male,Ibadan,Current,TXN1019,1/31/2024,Deposit,118.03,324.97,ATM,No,9.76
Jennifer Anderson,55,Male,Abuja,Credit,TXN1020,4/4/2024,Transfer,1913.63,2497.90,Mobile App,No,8.85
James Robert,42,Female,Ibadan,Current,TXN1021,4/27/2024,Deposit,335.74,4081.02,Mobile App,No,17.77
Jennifer Anderson,,Male,Port Harcourt,Current,TXN1022,3/7/2024,Deposit,800.82,3257.29,Web,No,20.00
Mary Johnson,22,Male,Lagos,Savings,TXN1023,1/20/2024,Transfer,1682.49,71.48,POS,No,12.99
John Williams,,Male,Port Harcourt,Current,TXN1024,1/13/2024,Withdrawal,28.12,4450.22,Web,No,11.81
Linda Miller,62,Male,Abuja,Current,TXN1025,10/1/2024,Payment,1465.26,590.07,Mobile App,No,1.33
Michael Davis,23,Male,Abuja,Current,TXN1026,2/14/2024,Payment,651.18,3089.60,POS,Yes,1.42
Jennifer Anderson,61,Female,Lagos,Savings,TXN1027,3/29/2024,Deposit,741.47,1683.21,ATM,No,9.60
Patricia Brown,65,Female,Ibadan,Current,TXN1028,2/13/2024,Transfer,955.55,3328.09,ATM,No,8.97
Elizabeth Moore,,Female,Abuja,Credit,TXN1029,3/2/2024,Payment,1630.15,1355.52,Web,No,14.64
Michael Davis,65,Female,Ibadan,Savings,TXN1030,9/3/2024,Withdrawal,374.28,1527.22,ATM,No,0.79
James Robert,43,Female,Port Harcourt,Credit,TXN1031,8/1/2024,Transfer,389.96,2741.30,Web,No,18.77
William Wilson,,Female,Ibadan,Savings,TXN1032,4/3/2024,Transfer,1943.81,1287.85,Mobile App,No,0.27
David Taylor,,Male,Abuja,Credit,TXN1033,3/11/2024,Withdrawal,1410.42,2078.64,POS,No,10.55
Elizabeth Moore,,Female,Port Harcourt,Credit,TXN1034,1/8/2024,Payment,1117.14,-470.11,ATM,No,16.57
Jennifer Anderson,,Male,Lagos,Credit,TXN1035,4/19/2024,Payment,1045.89,1186.16,Mobile App,No,13.42
Mary Johnson,65,Female,Abuja,Current,TXN1036,1/1/2024,Deposit,671.31,4439.43,ATM,No,1.09
Elizabeth Moore,,Female,Port Harcourt,Current,TXN1037,2/24/2024,Deposit,246.35,2586.65,Web,No,3.67
David Taylor,43,Female,Abuja,Credit,TXN1038,4/10/2024,Transfer,947.49,-13.33,Web,No,10.55
James Robert,35,Male,Abuja,Savings,TXN1039,2/1/2024,Withdrawal,237.81,1764.68,ATM,No,19.78
William Wilson,41,Female,Abuja,Credit,TXN1040,4/19/2024,Transfer,292.00,4925.76,Web,No,0.18
Mary Johnson,35,Male,Abuja,Savings,TXN1041,2/2/2024,Transfer,477.47,1059.94,Web,No,12.05
Elizabeth Moore,,Male,Abuja,Current,TXN1042,4/20/2024,Payment,995.29,4435.37,Mobile App,No,8.61
David Taylor,35,Male,Ibadan,Savings,TXN1043,3/18/2024,Withdrawal,1110.51,1755.26,Mobile App,No,17.05
William Wilson,59,Female,Abuja,Credit,TXN1044,4/7/2024,Transfer,539.45,4396.63,Mobile App,No,12.58
Patricia Brown,28,Male,Ibadan,Savings,TXN1045,3/30/2024,Withdrawal,1173.87,2458.12,POS,No,18.40
Mary Johnson,,Male,Ibadan,Credit,TXN1046,4/9/2024,Withdrawal,1185.71,635.63,Mobile App,No,12.55
Michael Davis,55,Male,Ibadan,Savings,TXN1047,2/20/2024,Withdrawal,552.87,3057.01,ATM,No,11.32
William Wilson,,Female,Lagos,Savings,TXN1048,6/3/2024,Transfer,767.59,1253.51,POS,No,4.00
James Robert,,Male,Ibadan,Savings,TXN1049,3/22/2024,Deposit,1553.96,3924.62,Web,No,1.95
James Robert,,Male,Abuja,Savings,TXN1050,3/17/2024,Payment,1522.65,2442.26,POS,No,17.74
James Robert,46,Female,Ibadan,Credit,TXN1051,3/23/2024,Deposit,563.18,4712.89,ATM,No,9.57
John Williams,,Male,Ibadan,Savings,TXN1052,2/16/2024,Withdrawal,1994.90,2672.77,POS,No,15.09
David Taylor,21,Male,Abuja,Savings,TXN1053,3/2/2024,Transfer,336.51,3749.62,Mobile App,No,12.70
John Williams,,Male,Abuja,Current,TXN1054,1/17/2024,Transfer,1772.88,3093.27,Mobile App,Yes,8.97
Jennifer Anderson,,Male,Port Harcourt,Current,TXN1055,4/22/2024,Transfer,220.57,3750.16,Mobile App,No,12.01
Mary Johnson,,Female,Port Harcourt,Savings,TXN1056,3/14/2024,Withdrawal,1786.11,3901.43,Web,No,5.01
Elizabeth Moore,19,Female,Abuja,Credit,TXN1057,2/6/2024,Deposit,1973.80,883.97,ATM,No,1.59
Michael Davis,,Male,Lagos,Credit,TXN1058,3/24/2024,Transfer,1421.02,1349.23,POS,No,0.92
Mary Johnson,,Female,Lagos,Savings,TXN1059,4/4/2024,Deposit,1933.33,3663.92,ATM,No,2.67
