Customer_Name,Email,Age,City,Product_Category,Purchase_Amount,Purchase_Date,Marketing_Channel,Response,Month,Age_Group,High_value_customer
Sarah Howard,Xbrooks@Example.Com,24,Unknown,Electronics,636.79,10/2/2026,Social Media,No,February,18-25,Yes
Tracey Davis,Timothypage@Example.Net,50,Unknown,Apparel,838.47,6/10/2025,Ads,Yes,October,36-50,Yes
Teresa Barron,Ronald03@Example.Net,,Unknown,Apparel,190.15,8/12/2025,Social Media,Yes,December,18-25,No
Teresa Merritt,Zcline @ Example.Org,18,Unknown,Electronics,221.44,12/26/2025,Email,No,December,18-25,No
Christopher Bailey,Lynchbonnie@Example.Net,49,North Christopherborough,Electronics,213,1/22/2026,Email,No,January,36-50,No
Zachary Salazar,Lancelopez@Example.Com,24,Unknown,Electronics,504.31,11/23/2025,Sms,Yes,November,18-25,Yes
Timothy Alvarez,Kirk78@Example.Org,24,Unknown,Beauty,678.26,10/25/2025,Social Media,No,October,18-25,Yes
Carol Boyd,Valerie94@Example.Com,42,Unknown,Beauty,900.07,2/16/2026,Sms,No,February,36-50,Yes
Matthew Aguilar,Annette04@Example.Org,47,Unknown,Sports,861.13,10/10/2025,Social Media,Yes,October,36-50,Yes
Samuel Lindsey,Pamelastanton@Example.Org,20,Unknown,Apparel,924.03,2/1/2026,Social Media,Yes,January,18-25,Yes
Brittany Scott,K@ieross@Example.Net,53,Unknown,Electronics,936.38,10/28/2025,Ads,No,October,50+,Yes
Tracy Farmer,Tiffany11@Example.Com,39,Vargaschester,Beauty,827.18,6/10/2025,Social Media,No,October,36-50,Yes
Christopher Olson,Alan11@Example.Com,53,Unknown,Beauty,469.26,11/11/2025,Ads,Yes,November,50+,No
Paul Jones,Campbelljames@Example.Com,40,Unknown,Beauty,470.39,1/20/2026,Ads,No,January,36-50,No
Brenda Kim,Shawgarrett@Example.Com,21,East Anthony,Sports,420.27,12/25/2025,Social Media,No,December,18-25,No
Brandy Vargas,Jakeevans@Example.Com,39,Unknown,Apparel,97.55,10/2/2026,Email,Yes,February,36-50,No
Elizabeth Berry,Bakermartha@Example.Org,51,Unknown,Beauty,949.24,1/28/2026,Sms,Yes,January,50+,Yes
Ashley Wilson,Candicelove@Example.Net,41,Unknown,Beauty,644.61,10/26/2025,Ads,No,October,36-50,Yes
Adrian Wolf,Trevinok@hy@Example.Net,,Unknown,Electronics,334.49,10/25/2025,Ads,Yes,October,18-25,No
Michael Miller,Sheltonjames@Example.Com,18,Unknown,Electronics,755.68,3/10/2025,Social Media,Yes,October,18-25,Yes
Natalie Edwards,Jennifer92@Example.Org,46,Josephville,Apparel,28.54,11/23/2025,Email,No,November,36-50,No
John Torres,Mooreelizabeth@Example.Com,57,Rodriguezberg,Beauty,781.11,8/11/2025,Sms,Yes,November,50+,Yes
Pamela Diaz,Wpowers@Example.Net,64,Unknown,Apparel,374.04,8/3/2026,Social Media,No,March,50+,No
Robert Morgan,Rodriguezmeghan@Example.Com,21,Unknown,Sports,853.66,12/22/2025,Ads,Yes,December,18-25,Yes
Abigail Warner,Michael46@Example.Net,32,Unknown,Apparel,342.69,11/16/2025,Sms,Yes,November,26-35,No
Ronald Jennings,Adamswilliam@Example.Org,27,New Michael,Electronics,711.18,4/12/2025,Sms,Yes,December,26-35,Yes
William Crawford,Nicholas07@Example.Com,37,Unknown,Apparel,527.16,11/19/2025,Ads,No,November,36-50,Yes
Douglas Martinez,Scottryan@Example.Com,56,Unknown,Electronics,238.78,10/19/2025,Ads,Yes,October,50+,No
Elizabeth Adams,Sweeneyrobert@Example.Net,38,Ericahaven,Electronics,406.65,3/18/2026,Email,Yes,March,36-50,No
Jennifer Benjamin,Hillvanessa@Example.Org,29,Unknown,Apparel,953.02,4/3/2026,Email,No,March,26-35,Yes
Joel Singleton,Ocrawford@Example.Net,63,Unknown,Beauty,727.16,5/1/2026,Sms,No,January,50+,Yes
Cynthia Hardin,Rebeccablair@Example.Com,34,Unknown,Sports,102.77,1/25/2026,Sms,Yes,January,26-35,No
Janice Carter,Timothycarpenter@Example.Org,41,Unknown,Beauty,315.36,1/10/2025,Social Media,No,October,36-50,No
Jessica Gordon,Thooper@Example.Net,64,Unknown,Beauty,777.72,8/10/2025,Sms,Yes,October,50+,Yes
John Briggs,Millschristopher@Example.Com,46,Unknown,Beauty,19.06,6/12/2025,Social Media,Yes,December,36-50,No
Leslie Torres,Fbooth@Example.Org,48,Patriciafort,Beauty,192.96,2/19/2026,Email,No,February,36-50,No
Bryan Serrano,Holly92@Example.Net,61,Chungtown,Apparel,554.63,5/3/2026,Social Media,Yes,March,50+,Yes
Austin Giles,Johncunningham@Example.Net,65,Unknown,Beauty,898.91,3/18/2026,Social Media,Yes,March,50+,Yes
Jessica Miranda,Garciaeric@Example.Net,39,Unknown,Apparel,373.98,12/28/2025,Email,Yes,December,36-50,No
Brian Gomez,Jessica90@Example.Org,54,Unknown,Beauty,50.41,9/27/2025,Social Media,Yes,September,50+,No
Shane Hernandez,Andrew00@Example.Org,20,Unknown,Electronics,552.76,12/19/2025,Social Media,Yes,December,18-25,Yes
Tonya Cantu,Stevenprice@Example.Net,47,Unknown,Apparel,502.68,2/2/2026,Email,No,February,36-50,Yes
Michelle Hardy,Scottclements @ Example.Net,25,Unknown,Apparel,889.73,2/19/2026,Email,No,February,18-25,Yes
